plugin: ai's imported from /Users/sand/GitHub/mono/ai/plugin.py
Killed existing process 9019 on port 5171
Killed existing process 17795 on port 5171
Killed existing process 63849 on port 5171
Dispatcher running on http://localhost:5171
watch: looking at the disk every 3 seconds
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 522}
watch: {'changed': 0, 'moved': 0, 'missing': 1, 'found': 0, 'collections': 0, 'ruled': 0}
watch: {'changed': 3, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 6}
watch: {'changed': 2, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 3}
watch: {'changed': 2, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 3}
watch: {'changed': 4, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 4}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 2, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 3}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 2}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 12, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 13}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 8, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 9}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 21}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 24, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 27}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 15, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 15}
watch: {'changed': 2, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 3}
watch: {'changed': 6, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 8}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 3, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 3}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 2, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 2}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 0, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
watch: {'changed': 1, 'moved': 0, 'missing': 0, 'found': 0, 'collections': 0, 'ruled': 1}
