Diagnostic log: on — this page is served from "localhost", which is this machine. Anywhere else, every logged line gives up at once.
Press at 379,258 found nothing at all among 0 overlapping target(s).
Press at 364,259 found nothing at all among 0 overlapping target(s).
Press at 371,270 found nothing at all among 0 overlapping target(s).
Press at 368,272 found nothing at all among 0 overlapping target(s).
Press at 366,271 found nothing at all among 0 overlapping target(s).
Press at 365,271 found nothing at all among 0 overlapping target(s).
Press at 365,271 found nothing at all among 0 overlapping target(s).
Press at 365,271 found nothing at all among 0 overlapping target(s).
Press at 365,271 found nothing at all among 0 overlapping target(s).
Press at 365,271 found nothing at all among 0 overlapping target(s).
Press at 365,271 found nothing at all among 0 overlapping target(s).
Press at 364,272 found nothing at all among 0 overlapping target(s).
Press at 364,272 found nothing at all among 0 overlapping target(s).
Press at 364,272 found nothing at all among 0 overlapping target(s).
Press at 364,272 found nothing at all among 0 overlapping target(s).
Press at 72,172 found nothing at all among 0 overlapping target(s).
